rs,minx,miny,maxx,maxy,bbox_wkt
15002,11.8,51.3,12.2,51.6,"POLYGON((11.8 51.3,11.8 51.6,12.2 51.6,12.2 51.3,11.8 51.3))"
15003,11.4,51.9,11.9,52.3,"POLYGON((11.4 51.9,11.4 52.3,11.9 52.3,11.9 51.9,11.4 51.9))"
15081,10.7,52.3,11.7,53,"POLYGON((10.7 52.3,10.7 53,11.7 53,11.7 52.3,10.7 52.3))"
15082,11.7,51.4,12.7,52.2,"POLYGON((11.7 51.4,11.7 52.2,12.7 52.2,12.7 51.4,11.7 51.4))"
15083,10.8,51.8,12,52.6,"POLYGON((10.8 51.8,10.8 52.6,12 52.6,12 51.8,10.8 51.8))"
15084,11.3,50.8,12.4,51.4,"POLYGON((11.3 50.8,11.3 51.4,12.4 51.4,12.4 50.8,11.3 50.8))"
15085,10.5,51.5,11.5,52.2,"POLYGON((10.5 51.5,10.5 52.2,11.5 52.2,11.5 51.5,10.5 51.5))"
15086,11.6,51.9,12.4,52.7,"POLYGON((11.6 51.9,11.6 52.7,12.4 52.7,12.4 51.9,11.6 51.9))"
15087,10.8,51.2,11.9,51.8,"POLYGON((10.8 51.2,10.8 51.8,11.9 51.8,11.9 51.2,10.8 51.2))"
15088,11.3,51.1,12.3,51.8,"POLYGON((11.3 51.1,11.3 51.8,12.3 51.8,12.3 51.1,11.3 51.1))"
15089,11.1,51.5,12.1,52.2,"POLYGON((11.1 51.5,11.1 52.2,12.1 52.2,12.1 51.5,11.1 51.5))"
15090,11.3,52.2,12.4,53.1,"POLYGON((11.3 52.2,11.3 53.1,12.4 53.1,12.4 52.2,11.3 52.2))"
15091,12.2,51.5,13.3,52.1,"POLYGON((12.2 51.5,12.2 52.1,13.3 52.1,13.3 51.5,12.2 51.5))"
16051,10.8,50.8,11.3,51.2,"POLYGON((10.8 50.8,10.8 51.2,11.3 51.2,11.3 50.8,10.8 50.8))"
16052,11.9,50.7,12.3,51.1,"POLYGON((11.9 50.7,11.9 51.1,12.3 51.1,12.3 50.7,11.9 50.7))"
16053,11.4,50.8,11.8,51.1,"POLYGON((11.4 50.8,11.4 51.1,11.8 51.1,11.8 50.8,11.4 50.8))"
16054,10.5,50.5,10.9,50.8,"POLYGON((10.5 50.5,10.5 50.8,10.9 50.8,10.9 50.5,10.5 50.5))"
16055,11.1,50.8,11.5,51.1,"POLYGON((11.1 50.8,11.1 51.1,11.5 51.1,11.5 50.8,11.1 50.8))"
16056,10.1,50.8,10.5,51.2,"POLYGON((10.1 50.8,10.1 51.2,10.5 51.2,10.5 50.8,10.1 50.8))"
16061,9.8,51.1,10.6,51.7,"POLYGON((9.8 51.1,9.8 51.7,10.6 51.7,10.6 51.1,9.8 51.1))"
16062,10.4,51.3,11.1,51.7,"POLYGON((10.4 51.3,10.4 51.7,11.1 51.7,11.1 51.3,10.4 51.3))"
16063,9.8,50.5,10.7,51.3,"POLYGON((9.8 50.5,9.8 51.3,10.7 51.3,10.7 50.5,9.8 50.5))"
16064,10.1,50.9,11,51.4,"POLYGON((10.1 50.9,10.1 51.4,11 51.4,11 50.9,10.1 50.9))"
16065,10.4,51.1,11.6,51.5,"POLYGON((10.4 51.1,10.4 51.5,11.6 51.5,11.6 51.1,10.4 51.1))"
16066,9.9,50.3,10.9,51,"POLYGON((9.9 50.3,9.9 51,10.9 51,10.9 50.3,9.9 50.3))"
16067,10.3,50.6,11.1,51.2,"POLYGON((10.3 50.6,10.3 51.2,11.1 51.2,11.1 50.6,10.3 50.6))"
16068,10.8,50.9,11.6,51.4,"POLYGON((10.8 50.9,10.8 51.4,11.6 51.4,11.6 50.9,10.8 50.9))"
16069,10.4,50.1,11.1,50.7,"POLYGON((10.4 50.1,10.4 50.7,11.1 50.7,11.1 50.1,10.4 50.1))"
16070,10.6,50.4,11.3,51,"POLYGON((10.6 50.4,10.6 51,11.3 51,11.3 50.4,10.6 50.4))"
16071,11,50.7,11.8,51.2,"POLYGON((11 50.7,11 51.2,11.8 51.2,11.8 50.7,11 50.7))"
16072,10.8,50.2,11.4,50.6,"POLYGON((10.8 50.2,10.8 50.6,11.4 50.6,11.4 50.2,10.8 50.2))"
16073,10.9,50.3,11.7,50.9,"POLYGON((10.9 50.3,10.9 50.9,11.7 50.9,11.7 50.3,10.9 50.3))"
16074,11.3,50.6,12.1,51.2,"POLYGON((11.3 50.6,11.3 51.2,12.1 51.2,12.1 50.6,11.3 50.6))"
16075,11.4,50.3,12.1,50.9,"POLYGON((11.4 50.3,11.4 50.9,12.1 50.9,12.1 50.3,11.4 50.3))"
16076,11.8,50.4,12.4,51.1,"POLYGON((11.8 50.4,11.8 51.1,12.4 51.1,12.4 50.4,11.8 50.4))"
16077,12.1,50.7,12.8,51.2,"POLYGON((12.1 50.7,12.1 51.2,12.8 51.2,12.8 50.7,12.1 50.7))"
